,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,79.8455056,1.5044453,711.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,84.1883294,0.645362,3196.1182,state,fb-survey
2,ar,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,85.4201757,0.7088687,2478.4558,state,fb-survey
3,az,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,86.5097622,0.4737837,5199.0566,state,fb-survey
4,ca,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,91.1507688,0.1988351,20402.3375,state,fb-survey
5,co,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,85.9426356,0.5075478,4689.8466,state,fb-survey
6,ct,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,93.3360368,0.4101168,3698.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,96.3973799,0.8717335,457.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,93.2229412,0.7968359,995.0073,state,fb-survey
9,fl,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,85.9363765,0.2812758,15275.9981,state,fb-survey
10,ga,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,82.3475593,0.4935747,5966.9124,state,fb-survey
11,hi,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,93.6140019,0.752407,1056.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,76.8772652,0.717263,3455.2564,state,fb-survey
13,id,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,72.4141402,1.0655439,1759.4106,state,fb-survey
14,il,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,87.4202294,0.3392023,9558.001,state,fb-survey
15,in,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,82.6640752,0.516204,5378.0035,state,fb-survey
16,ks,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,82.2704636,0.7253676,2772.2028,state,fb-survey
17,ky,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,85.7434668,0.5800028,3633.7476,state,fb-survey
18,la,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,82.3262046,0.6555879,3385.3694,state,fb-survey
19,ma,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,93.2907677,0.362012,4776.0145,state,fb-survey
20,md,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,92.5823978,0.4239436,3820.9898,state,fb-survey
21,me,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,86.8856985,0.7934279,1810.0,state,fb-survey
22,mi,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,86.4848895,0.3560141,9222.0086,state,fb-survey
23,mn,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,88.2147964,0.4828576,4459.029,state,fb-survey
24,mo,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,79.6808044,0.5816574,4785.4818,state,fb-survey
25,ms,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,83.719359,0.8029508,2114.0709,state,fb-survey
26,mt,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,75.1814369,1.1925231,1312.0599,state,fb-survey
27,nc,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,85.379346,0.3940566,8039.009,state,fb-survey
28,nd,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,69.1925007,1.7055738,732.7814,state,fb-survey
29,ne,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,79.5746703,0.9538721,1786.3381,state,fb-survey
30,nh,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,88.3498146,0.7978371,1617.0,state,fb-survey
31,nj,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,91.5120094,0.3759739,5494.9981,state,fb-survey
32,nm,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,88.8542247,0.7592604,1717.9356,state,fb-survey
33,nv,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,87.4979724,0.7655755,1866.3899,state,fb-survey
34,ny,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,92.2568803,0.246758,11732.0008,state,fb-survey
35,oh,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,85.0966561,0.3650464,9517.0022,state,fb-survey
36,ok,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,77.0881024,0.708459,3518.9974,state,fb-survey
37,or,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,89.1097902,0.5056101,3796.0343,state,fb-survey
38,pa,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,86.7612394,0.3166707,11454.0066,state,fb-survey
39,ri,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,94.3540368,0.7365407,981.9855,state,fb-survey
40,sc,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,83.7729229,0.5293116,4852.0046,state,fb-survey
41,sd,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,66.7129319,1.5922007,875.9715,state,fb-survey
42,tn,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,80.7066727,0.5572014,5015.2457,state,fb-survey
43,tx,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,87.3784081,0.2589187,16450.9731,state,fb-survey
44,ut,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,81.8961388,0.7288145,2791.2618,state,fb-survey
45,va,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,89.8335655,0.3620708,6966.5893,state,fb-survey
46,vt,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,90.1807203,1.0335207,829.0008,state,fb-survey
47,wa,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,90.0925081,0.3772459,6271.962,state,fb-survey
48,wi,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,83.1596467,0.5016036,5565.9907,state,fb-survey
49,wv,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,83.8736649,0.8100755,2061.1536,state,fb-survey
50,wy,smoothed_wearing_mask,2020-09-22,,2020-10-05,13,56.1996648,1.9417871,652.8418,state,fb-survey
0,ak,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,79.5988935,1.4997255,722.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,84.2962582,0.6413648,3218.1124,state,fb-survey
2,ar,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,84.372907,0.7321831,2459.4717,state,fb-survey
3,az,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,86.347448,0.4773363,5173.8567,state,fb-survey
4,ca,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,90.9766424,0.2013861,20241.3375,state,fb-survey
5,co,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,86.0889773,0.5050077,4695.8114,state,fb-survey
6,ct,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,93.0331235,0.4212816,3652.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,97.0459519,0.7928939,456.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,92.620536,0.8288061,995.0073,state,fb-survey
9,fl,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,85.9626554,0.2821756,15154.9975,state,fb-survey
10,ga,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,82.3354192,0.4996034,5826.9232,state,fb-survey
11,hi,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,93.5531496,0.7708502,1015.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,77.1327652,0.7227709,3376.3795,state,fb-survey
13,id,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,72.4468312,1.0734042,1732.4645,state,fb-survey
14,il,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,87.3292346,0.3423334,9442.001,state,fb-survey
15,in,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,82.5464566,0.5227116,5273.0007,state,fb-survey
16,ks,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,81.9508272,0.7355162,2734.1741,state,fb-survey
17,ky,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,85.6227002,0.5913943,3519.7515,state,fb-survey
18,la,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,81.4138611,0.6749711,3321.3689,state,fb-survey
19,ma,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,93.1628391,0.3647004,4789.0145,state,fb-survey
20,md,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,92.927788,0.4192502,3738.9897,state,fb-survey
21,me,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,87.4929418,0.7862804,1770.0,state,fb-survey
22,mi,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,86.4389166,0.3597373,9058.0085,state,fb-survey
23,mn,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,87.916681,0.4923658,4382.0954,state,fb-survey
24,mo,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,79.5110101,0.590157,4677.4888,state,fb-survey
25,ms,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,83.1275443,0.8255541,2057.9374,state,fb-survey
26,mt,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,74.7142528,1.2206073,1268.0236,state,fb-survey
27,nc,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,85.6103643,0.3947884,7904.009,state,fb-survey
28,nd,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,68.0970235,1.6933136,757.6778,state,fb-survey
29,ne,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,79.8925456,0.9525446,1770.4868,state,fb-survey
30,nh,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,88.6882129,0.7975955,1577.0,state,fb-survey
31,nj,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,91.4443828,0.3768152,5509.9981,state,fb-survey
32,nm,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,88.4442996,0.7753173,1700.2279,state,fb-survey
33,nv,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,88.2798747,0.750406,1837.3899,state,fb-survey
34,ny,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,92.3312078,0.2469465,11611.0007,state,fb-survey
35,oh,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,85.3007264,0.3663372,9343.0046,state,fb-survey
36,ok,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,77.0617326,0.7140406,3466.9982,state,fb-survey
37,or,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,88.3235807,0.5235086,3763.0392,state,fb-survey
38,pa,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,86.9455085,0.3176624,11248.0065,state,fb-survey
39,ri,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,94.09576,0.769197,938.9855,state,fb-survey
40,sc,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,84.024106,0.5328385,4728.0042,state,fb-survey
41,sd,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,65.807571,1.5822886,898.7407,state,fb-survey
42,tn,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,80.8056506,0.5613978,4921.2304,state,fb-survey
43,tx,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,87.278278,0.2601351,16407.95,state,fb-survey
44,ut,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,81.9621354,0.7352049,2735.1526,state,fb-survey
