,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,23.1125828,1.5352044,754.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,26.8403605,0.7514839,3477.1269,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,29.1000314,0.870411,2723.2706,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,15.2411388,0.4826138,5546.2961,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,13.4927535,0.2327009,21555.4339,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,16.3596694,0.5239793,4983.8165,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,11.9169003,0.5173377,3922.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,10.6707317,1.3933276,491.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,12.0921025,0.9967161,1070.0073,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,17.9131561,0.3007387,16257.9975,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,24.0399391,0.5361338,6352.9042,state,fb-survey
11,hi,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,16.2634409,1.105163,1115.0,state,fb-survey
12,ia,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,29.1687086,0.7450302,3722.1566,state,fb-survey
13,id,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,25.2324102,0.9976645,1895.4098,state,fb-survey
14,il,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,19.052984,0.3886593,10210.0016,state,fb-survey
15,in,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,22.5675146,0.5500819,5775.0038,state,fb-survey
16,ks,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,27.6011764,0.8220325,2957.2029,state,fb-survey
17,ky,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,22.9450776,0.6735275,3897.4379,state,fb-survey
18,la,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,22.9905174,0.6902021,3716.554,state,fb-survey
19,ma,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,10.8512433,0.4407396,4980.0145,state,fb-survey
20,md,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,13.492891,0.538379,4026.99,state,fb-survey
21,me,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,11.3506494,0.7231787,1924.0,state,fb-survey
22,mi,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,15.4949924,0.3631665,9928.0084,state,fb-survey
23,mn,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,19.8514437,0.582005,4697.15,state,fb-survey
24,mo,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,30.362094,0.6410884,5144.4814,state,fb-survey
25,ms,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,25.5468615,0.8997402,2349.5588,state,fb-survey
26,mt,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,24.3155869,1.1340156,1431.0444,state,fb-survey
27,nc,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,18.0937463,0.4146859,8618.0089,state,fb-survey
28,nd,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,34.6958788,1.6959086,787.7957,state,fb-survey
29,ne,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,28.145368,1.0324422,1897.2747,state,fb-survey
30,nh,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,12.8346915,0.8071968,1717.0,state,fb-survey
31,nj,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,9.9385986,0.3963079,5698.9978,state,fb-survey
32,nm,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,14.8728266,0.8316086,1830.7278,state,fb-survey
33,nv,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,17.4113767,0.8577916,1954.2934,state,fb-survey
34,ny,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,10.9663032,0.2815838,12314.0006,state,fb-survey
35,oh,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,17.4968253,0.3754977,10238.0032,state,fb-survey
36,ok,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,28.415381,0.7318284,3797.9971,state,fb-survey
37,or,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,13.2548962,0.5281468,4122.0387,state,fb-survey
